Agency,Program or Activity ,Fiscal Year, Confirmed Fraud 
DOI,Office of Natural Resources Revenue,2020, $ 24.60 
DOI,"Office of Natural Resources Revenue, Department-Wide Programs, Interior",2021, $ -   
DOI,Office of Surface Mining,2019, $ 0.13 
DOI,Office of the Special Trustee,2020, $ 1.40 
DOI,"Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior - 234E1700D2",2021, $ -   
DOI,"Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior",2021, $ -   
DOI,"Operation and Maintenance of Quarters, National Park Service, Interior",2021, $ -   
DOI,"Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T), Interior - BIL 5240-A000",2021, $ -   
DOI,"Operation of Indian Education Programs, Bureau of Indian Education, Interior",2021, $ -   
DOI,"Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior - BIL 221A2100S1, 221A2100S3",2021, $ -   
DOI,"Operation of the National Park System, National Park Service, Interior - IRA 20P10361B, 221P10361C, 221P10361D, 226P10361E",2021, $ -   
DOI,"Oregon and California Grant Lands, Bureau of Land Management, Interior",2021, $ -   
DOI,"Outer Continental Shelf Revenues, Land and Water Conservation Fund (LWCF) Share from Certain Leases, National Park Service, Interior",2021, $ -   
DOI,"Park Concession Franchise Fees, National Park Service, Interior",2021, $ -   
DOI,"Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services, Bureau of Indian Affairs, Interior",2021, $ -   
DOI,"Payment to the United States Territories, Fiscal Assistance, Insular Affairs, Interior",2021, $ -   
DOI,"Payments in Lieu of Taxes, Departmental Management, Interior",2021, $ -   
DOI,"Payments to States in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement, Interior",2021, $ -   
DOI,"Permit Processing Fund, Bureau of Land Management, Interior",2021, $ -   
DOI,"Policy and Administration, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs, Interior - BIL 5648-A000",2021, $ -   
DOI,"Reclamation Trust Funds, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Reclamation Water Settlements Fund, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Recreation Enhancement Fee Program, Bureau of Land Management, Interior",2021, $ -   
DOI,"Recreation Enhancement Fee Program, National Park Service, Interior",2021, $ -   
DOI,"Regulation and Technology, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 223S180110, 234S180110",2021, $ -   
DOI,"Resource Management, United States Fish and Wildlife Service, Interior - BIL 23XF1611WF, 23XF1611BC, 23XF1611BL",2021, $ -   
DOI,"Salaries and Expenses, Office of the Inspector General, Interior",2021, $ -   
DOI,"Salaries and Expenses, Office of the Solicitor, Interior",2021, $ -   
DOI,Selis-Qlispe Ksanka Settlement Trust Fund,2021, $ -   
DOI,"Service Charges, Deposits and Forfeitures, Bureau of Land Management, Interior",2021, $ -   
DOI,"Southern Nevada Public Land Management, Bureau of Land Management, Interior",2021, $ -   
DOI,"Sport Fish Restoration Account, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Supplemental Payments to United Mine Workers of America (UMWA) Health Plans, Office of Surface Mining Reclamation and Enforcement, Interior",2021, $ -   
DOI,"Surveys, Investigations, and Research, Geological Survey, Interior - BIL 224G0804ID, 22XG0804ID, 235G0804ID",2021, $ -   
DOI,"Temporary Assistance for Needy Families, Interior",2021, $ -   
DOI,"Training and Employment Services, Employment and Training Administration, Interior",2021, $ -   
DOI,"Transportation Systems Fund, National Park Service, Interior",2021, $ -   
DOI,"Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior",2021, $ -   
DOI,"Upper Colorado River Basin Fund, Bureau of Reclamation, Interior",2021, $ -   
DOI,US Geological Survey,2019, $ 0.05 
DOI,"Utah Reclamation Mitigation and Conservation Account, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Water and Related Resources, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Wildfire Management, Bureau of Land Management, Interior",2021, $ -   
DOI,"Wildfire Management, National Park Service, Interior",2021, $ -   
DOI,"Wildland Fire Management, Department-Wide Programs, Interior",2021, $ -   
DOI,"Wildland Fire Management, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Wildland Fire, Bureau of Indian Affairs, Interior",2021, $ -   
DOI,"Working Capital Fund, Bureau of Land Management, Interior",2021, $ -   
DOI,"Working Capital Fund, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Working Capital Fund, Departmental Management, Interior",2021, $ -   
DOI,"Working Capital Fund, U.S. Geological Survey, Interior",2021, $ -   
DOJ,"Administrative, Technology, and Other",2018, $ -   
DOJ,"Administrative, Technology, and Other",2019, $ -   
DOJ,"Administrative, Technology, and Other",2020, $ -   
DOJ,"Administrative, Technology, and Other",2021, $ -   
DOJ,Agency Wide,2022, $ 1.76 
DOJ,Agency Wide,2023, $ 0.42 
DOJ,Agency Wide,2024, $ 11.86 
DOJ,Law Enforcement,2017, $ 0.02 
DOJ,Law Enforcement,2018, $ 0.78 
DOJ,Law Enforcement,2019, $ 0.30 
DOJ,Law Enforcement,2020, $ -   
DOJ,Law Enforcement,2021, $ -   
DOJ,Litigation,2018, $ -   
DOJ,Litigation,2019, $ -   
DOJ,Litigation,2020, $ 0.01 
DOJ,Litigation,2021, $ 0.01 
DOJ,Prisons and Detention,2018, $ 0.22 
DOJ,Prisons and Detention,2019, $ 0.01 
DOJ,Prisons and Detention,2020, $ 0.14 
DOJ,Prisons and Detention,2021, $ 1.07 
DOJ,"State, Local, Tribal, and Other Assistance",2017, $ 0.97 
DOJ,"State, Local, Tribal, and Other Assistance",2018, $ 0.10 
DOJ,"State, Local, Tribal, and Other Assistance",2019, $ 0.10 
DOJ,"State, Local, Tribal, and Other Assistance",2020, $ -   
DOJ,"State, Local, Tribal, and Other Assistance",2021, $ 1.10 
DOL,Agency Wide,2022," $ 1,616.92 "
DOL,Agency Wide,2023," $ 1,109.27 "
DOL,Agency Wide,2024," $ 1,033.53 "
DOL,Bureau of Labor Statistics - Compensation and Working Conditions,2021, $ -   
DOL,Bureau of Labor Statistics - Executive Direction and Staff Services,2021, $ -   
DOL,Bureau of Labor Statistics - Labor Force Statistics,2021, $ -   
DOL,Bureau of Labor Statistics - Prices and Cost of Living,2021, $ -   
DOL,Bureau of Labor Statistics - Productivity and Technology,2021, $ -   
DOL,Department of Labor - Departmental Management,2021, $ 0.15 
DOL,Employee Benefits Security Administration,2021, $ 0.20 
DOL,Employment & Training Administration - Adult Employment and Training Activities,2021, $ -   
DOL,Employment & Training Administration - Apprenticeship,2021, $ -   
DOL,Employment & Training Administration - Community Service Employment for Older Americans,2021, $ -   
DOL,Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula,2021, $ -   
DOL,Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves,2021, $ -   
DOL,Employment & Training Administration - Employment Service,2021, $ -   
DOL,Employment & Training Administration - Federal State Unemployment Insurance,2017, $ 3.39 
DOL,Employment & Training Administration - Federal State Unemployment Insurance,2018, $ 3.74 
DOL,Employment & Training Administration - Federal State Unemployment Insurance,2019, $ 10.32 
DOL,Employment & Training Administration - Federal State Unemployment Insurance,2020, $ 301.66 
DOL,Employment & Training Administration - Federal State Unemployment Insurance,2021," $ 1,046.98 "
DOL,Employment & Training Administration - Foreign Labor Certification,2021, $ -   
DOL,Employment & Training Administration - Indian and Native American Program,2021, $ -   
DOL,Employment & Training Administration - Job Corps,2021, $ -   
DOL,Employment & Training Administration - Migrant and Seasonal Farmworker,2021, $ -   
DOL,Employment & Training Administration - Reintegration of Ex-Offenders,2021, $ -   
DOL,Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances,2021, $ -   
DOL,Employment & Training Administration - Workforce Data Quality Initiative,2021, $ -   
DOL,Employment & Training Administration - Workforce Information Etools,2021, $ -   
DOL,Employment & Training Administration - Youth Activities,2021, $ -   
DOL,Employment & Training Administration - YouthBuild,2021, $ -   
DOL,Employment and Training Administration – Unemployment Insurance – Federal Pandemic Unemployment Assistance,2021, $ -   
DOL,International Labor Affairs Bureau,2021, $ -   
DOL,Mine Safety and Health Administration,2021, $ -   
DOL,Occupational Safety and Health Administration,2021, $ 0.06 
DOL,Office of Disability Employment Policy,2021, $ -   
DOL,Office of Federal Contract Compliance Programs,2021, $ -   
DOL,Office of Labor-Management Standards,2021, $ -   
DOL,Office of Workers' Compensation - Coal Mine Workers' Compensation,2021, $ -   
DOL,Office of Workers' Compensation - Energy Employees Occupational Illness Compensation,2021, $ -   
DOL,Office of Workers' Compensation - Federal Employees' Compensation Act,2017, $ 1.62 
DOL,Office of Workers' Compensation - Federal Employees' Compensation Act,2018, $ 54.83 
DOL,Office of Workers' Compensation - Federal Employees' Compensation Act,2019, $ 54.71 
DOL,Office of Workers' Compensation - Federal Employees' Compensation Act,2020, $ 40.41 
DOL,Office of Workers' Compensation - Federal Employees' Compensation Act,2021, $ 41.32 
DOL,Office of Workers' Compensation - Longshore and Harbor Workers Compensation,2021, $ -   
DOL,Other programs,2017, $ 108.22 
DOL,Other programs,2018, $ 74.73 
DOL,Other programs *,2019, $ 29.01 
DOL,Other programs *,2020, $ 41.60 
DOL,Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement,2021, $ -   
DOL,Veterans Employment Training Service - Homeless Veterans' Reintegration Program,2021, $ -   
DOL,Veterans Employment Training Service - Jobs for Veterans State Grants,2021, $ -   
DOL,Veterans Employment Training Service - Transition Assistance Program Employment Workshop,2021, $ -   
DOL,Wage and Hour Division,2021, $ -   
DOL,Women's Bureau,2021, $ -   
DOT,Agency Wide,2022, $ 0.06 
DOT,Agency Wide,2023, $ 0.58 
DOT,Agency Wide,2024, $ 0.12 
DOT,Federal Aviation Administration - Grants - Civil Settlements,2017, $ 0.02 
DOT,Federal Aviation Administration - Procurement - Civil Settlements,2017, $ 0.30 
DOT,Federal Aviation Administration Facilities and Equipment,2021, $ -   
DOT,Federal Aviation Administration Franchise Fund,2021, $ -   
DOT,Federal Aviation Administration Grants-in-Aid for Airports,2021, $ -   
DOT,Federal Aviation Administration Operations,2021, $ -   
DOT,"Federal Aviation Administration Research, Engineering and Development",2021, $ -   
DOT,Federal Highway Administration - Grant - Civil Settlements,2017, $ 1.81 
DOT,Federal Highway Administration - Grant - Criminal,2017, $ 0.27 
DOT,Federal Highway Administration Highway Planning and Construction,2021, $ -   
DOT,Federal Highway Administration Other Grant Programs and Cooperative Agreements,2021, $ -   
DOT,Federal Highway Administration Research Programs,2021, $ -   
DOT,Federal Highway Administration Salaries and Expenses,2021, $ -   
DOT,Federal Motor Carrier Safety Administration - Occupational - Criminal,2017, $ 0.00 
DOT,Federal Motor Carrier Safety Administration Motor Carrier Safety Grants,2021, $ -   
DOT,Federal Motor Carrier Safety Administration Operations and Programs,2021, $ -   
DOT,Federal Railroad Administration - Grant - Civil Settlement,2017, $ 1.50 
DOT,Federal Railroad Administration Grants to National Railroad Passenger Corporation,2021, $ -   
DOT,Federal Railroad Administration High-Speed Intercity Passenger Rail,2021, $ -   
DOT,Federal Railroad Administration Other Grant Programs,2021, $ -   
DOT,Federal Railroad Administration Railroad Research and Development,2021, $ -   
DOT,Federal Railroad Administration Safety and Operations,2021, $ -   
DOT,Federal Transit Administration - Grant - Civil Settlement,2017, $ 0.05 
DOT,Federal Transit Administration Administrative Expenses,2021, $ -   
DOT,Federal Transit Administration Capital Investment Grants,2021, $ -   
DOT,Federal Transit Administration Emergency Relief Program,2021, $ -   
DOT,Federal Transit Administration Formula Grants,2021, $ -   
DOT,Federal Transit Administration Other Grant Programs,2021, $ -   
DOT,Federal Transit Administration Transit Infrastructure Grants,2021, $ -   
DOT,Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds,2021, $ -   
DOT,Federal Transit Administration Washington Metro,2021, $ -   
DOT,Grants,2018, $ 3.12 
DOT,Grants,2019, $ 2.22 
DOT,Grants,2020, $ 5.51 
DOT,Maritime Administration Approval Workflow Contract Payments,2021, $ -   
DOT,Maritime Administration Assistance Programs,2021, $ -   
DOT,Maritime Administration Electronic Invoicing System Ship Manager Payments,2021, $ -   
DOT,Maritime Administration Federal Ship Financing Program Contracts,2021, $ -   
DOT,Maritime Administration Personnel Compensation and Benefits,2021, $ -   
DOT,Maritime Administration Student Incentive Program,2021, $ -   
DOT,Maritime Administration Travel Payments,2021, $ -   
DOT,National Highway Traffic Safety Administration Highway Traffic Safety Grants,2021, $ -   
DOT,National Highway Traffic Safety Administration Operations and Research,2021, $ -   
DOT,Office of Inspector General Salaries and Expenses,2021, $ -   
DOT,Office of the Secretary Grant Programs,2021, $ -   
DOT,Office of the Secretary Grant Programs - Allocation and Administered Accounts,2021, $ -   
DOT,Office of the Secretary Loan Programs,2021, $ -   
DOT,Office of the Secretary Salaries and Expenses,2021, $ -   
DOT,Other,2018, $ 0.06 
DOT,Other,2019, $ 0.16 
DOT,Other,2020, $ 0.01 
DOT,Pipeline and Hazardous Materials Safety Administration Payments,2021, $ -   
EAC,Agency Wide,2022, $ -   
EAC,Agency Wide,2023, $ -   
EAC,Election Assistance Commission,2021, $ -   
ED,Academic Competitiveness Grant,2021, $ -   
ED,Administrative,2017, $ 15.81 
ED,Administrative,2018, $ 0.11 
ED,Administrative,2019, $ -   
ED,Administrative,2020, $ -   
ED,Adult Education - Basic Grants to States,2021, $ -   
ED,Agency Wide,2022, $ 8.77 
ED,Agency Wide,2023, $ 22.44 
ED,Agency Wide,2024, $ 0.65 
ED,American History and Civics Education,2021, $ -   
ED,Arts in Education,2021, $ -   
ED,Career and Technical Education - Basic Grants to States,2021, $ -   
ED,Career and Technical Education - National Programs,2021, $ -   
ED,Centers for International Business Education,2021, $ -   
ED,Charter Schools,2021, $ -   
ED,Child Care Access Means Parents in School,2021, $ -   
ED,Child Care Provider Loan Forgiveness Demonstration,2021, $ -   
ED,Civil,2017, $ 28.96 
ED,Civil,2018, $ -   
ED,Civil,2019, $ 0.64 
ED,Civil,2020, $ 1.89 
ED,Comprehensive Centers,2021, $ -   
ED,Comprehensive Literacy Development,2021, $ -   
ED,Consolidated Grant to the Outlying Areas,2021, $ -   
ED,Contracts Management,2021, $ -   
ED,Credit Enhancement for Charter School Facilities,2021, $ -   
ED,Criminal,2017, $ 2.62 
ED,Criminal,2018, $ 15.82 
ED,Criminal,2019, $ 9.36 
ED,Criminal,2020, $ 3.89 
ED,DC Opportunity Scholarship Program,2021, $ -   
ED,Disability Innovation Fund (DIF),2021, $ -   
ED,Disaster Recovery Assistance for Education,2021, $ -   
ED,Education for Homeless Children and Youth,2021, $ -   
ED,Education Innovation and Research (formerly Investing in Innovation (i3) Fund),2021, $ -   
ED,"Education Research, Development and Dissemination",2021, $ -   
ED,Education Stabilization Fund,2021, $ -   
ED,Emergency Assistance to Institutions of Higher Education,2021, $ -   
ED,English Language Acquisition State Grants,2021, $ -   
ED,Federal Family Education Loan (FFEL),2021, $ -   
ED,Federal Pell Grant Program,2021, $ 1.60 
ED,Federal Perkins Loan (Perkins),2021, $ -   
ED,Federal Supplemental Educational Opportunity Grant (FSEOG),2021, $ -   
ED,Federal Work-Study,2021, $ -   
ED,Gaining Early Awareness and Readiness for Undergraduate Programs,2021, $ -   
ED,Gallaudet University,2021, $ -   
ED,Graduate Assistance in Areas of National Need,2021, $ -   
ED,Grants for State Assessments and Related Activities,2021, $ -   
ED,Health Education Assistance Loan (HEAL),2021, $ -   
ED,Helen Keller National Center,2021, $ -   
ED,Higher Education Institutional Aid,2021, $ 0.08 
ED,Immediate Aid To Restart School Operations (RESTART),2021, $ -   
ED,Impact Aid,2021, $ -   
ED,Impact Aid Facilities Maintenance,2021, $ -   
ED,Indian Education - Special Programs for Indian Children,2021, $ -   
ED,Indian Education Grants to Local Educational Agencies,2021, $ -   
ED,Innovative Approaches to Literacy; Promise Neighborhoods; and Full-Service Community Schools,2021, $ -   
ED,International Research and Studies,2021, $ -   
ED,Iraq and Afghanistan Service Grant (IASG),2021, $ -   
ED,Javits Gifted and Talented Students Education,2021, $ -   
ED,Language Resource Centers,2021, $ -   
ED,Leveraging Educational Assistance Partnership (LEAP) Program,2021, $ -   
ED,Mathematics and Science Partnerships,2021, $ -   
ED,Migrant Education Coordination Program,2021, $ -   
ED,Migrant Education High School Equivalency Program,2021, $ -   
ED,Migrant Education State Grant Program,2021, $ -   
ED,Minority Science and Engineering Improvement,2021, $ -   
ED,National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,2021, $ -   
ED,Native Hawaiian Education,2021, $ -   
ED,Overseas Programs - Doctoral Dissertation Research Abroad,2021, $ -   
ED,Personnel Compensation and Benefits,2021, $ -   
ED,Preschool Development Grants,2021, $ -   
ED,Rehabilitation Long-Term Training,2021, $ -   
ED,Rehabilitation Services Demonstration and Training Programs,2021, $ -   
ED,Rehabilitation Services Independent Living Services for Older Individuals Who are Blind,2021, $ -   
ED,Rehabilitation Services Vocational Rehabilitation Grants to States,2021, $ 0.69 
ED,Rehabilitation Training Technical Assistance Centers,2021, $ -   
ED,Research in Special Education,2021, $ -   
ED,Rural Education,2021, $ -   
ED,School Improvement Grants,2021, $ -   
ED,"School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)",2021, $ -   
ED,Special Education - Personnel Development to Improve Services and Results for Children with Disabilities,2021, $ -   
ED,Special Education - State Personnel Development,2021, $ -   
ED,"Special Education Educational Technology Media, and Materials for Individuals with Disabilities",2021, $ -   
ED,Special Education Grants to States,2021, $ -   
ED,Special Education Parent Information Centers,2021, $ -   
ED,Special Education Preschool Grants,2021, $ -   
ED,Special Education Technical Assistance on State Data Collection,2021, $ -   
ED,Special Education-Grants for Infants and Families,2021, $ -   
ED,Statewide Family Engagement Centers,2021, $ -   
ED,Statewide Longitudinal Data Systems,2021, $ -   
ED,Strengthening Minority-Serving Institutions,2021, $ -   
ED,Student Support and Academic Enrichment Program,2021, $ -   
ED,Supplemental Education Grants,2021, $ -   
ED,Supported Employment Services for Individuals with the Most Significant Disabilities,2021, $ -   
ED,Supporting Effective Educator Development Program,2021, $ -   
ED,Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants),2021, $ -   
ED,Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund),2021, $ -   
ED,Teacher Education Assistance for College and Higher Education Grant (TEACH),2021, $ -   
ED,Teacher Quality Partnership Grants,2021, $ -   
ED,Temporary Emergency Impact Aid for Displaced Students,2021, $ -   
ED,Title I Grants to Local Educational Agencies,2021, $ 2.81 
ED,Title I State Agency Program for Neglected and Delinquent Children and Youth,2021, $ -   
ED,Transition Programs for Students with Intellectual Disabilities into Higher Education,2021, $ -   
ED,Travel and Transportation - Department of Education,2021, $ -   
ED,TRIO Educational Opportunity Centers,2021, $ -   
ED,TRIO McNair Post-Baccalaureate Achievement,2021, $ -   
ED,TRIO Staff Training Program,2021, $ -   
ED,TRIO Student Support Services,2021, $ -   
ED,TRIO Talent Search,2021, $ -   
ED,TRIO Upward Bound,2021, $ -   
ED,Twenty-First Century Community Learning Centers,2021, $ 0.14 
ED,William D. Ford Federal Direct Loan Program  ,2021, $ 1.40 
EEOC,Agency Wide,2022, $ -   
EEOC,Agency Wide,2023, $ -   
EPA,Agency Wide,2022, $ 0.97 
EPA,Agency Wide,2023, $ 0.00 
EPA,Agency Wide,2024, $ 2.00 
EPA,Clean Water State Revolving Fund (CWSRF),2021, $ -   
EPA,Commodities - Environmental Protection Agency,2021, $ -   
EPA,Contracts - Environmental Protection Agency,2017, $ 0.67 
EPA,Contracts - Environmental Protection Agency,2020, $ 0.75 
EPA,Contracts - Environmental Protection Agency,2021, $ -   
EPA,Disaster Relief - Hurricane Sandy Fund (Sandy),2021, $ -   
EPA,Disaster Relief Funds (2018),2021, $ -   
EPA,Drinking Water State Revolving Fund (DWSRF),2017, $ 0.48 
EPA,Drinking Water State Revolving Fund (DWSRF),2021, $ -   
EPA,Grants - Environmental Protection Agency,2017, $ 0.48 
EPA,Grants - Environmental Protection Agency,2019, $ 5.82 
EPA,Grants - Environmental Protection Agency,2021, $ 0.32 
EPA,Other,2019, $ 0.00 
EPA,Other,2020, $ 0.02 
EPA,Payroll - Environmental Protection Agency,2018, $ 0.03 
EPA,Payroll - Environmental Protection Agency,2021, $ -   
EPA,Purchase Cards - Environmental Protection Agency,2021, $ -   
EPA,Travel - Environmental Protection Agency,2021, $ -   
EXIM,Agency Wide,2022, $ 1.84 
EXIM,Agency Wide,2023, $ -   
EXIM,Agency Wide,2024, $ -   
FCA,Agency Wide,2022, $ -   
FCA,Agency Wide,2023, $ -   
FCA,Agency Wide,2024, $ -   
FCC,Agency Wide,2022, $ -   
FCC,Agency Wide,2023, $ 0.34 
FCC,Agency Wide,2024, $ 109.64 
FCC,COVID-19 Telehealth,2021, $ -   
FCC,Federal Communications Commission Operating Expenses,2021, $ -   
FCC,North American Numbering Plan,2021, $ -   
FCC,Telecommunications Relay Service,2018, $ -   
FCC,Telecommunications Relay Service,2021, $ -   
FCC,TV Broadcasting Relocation Fund,2021, $ -   
FCC,Universal Service Administrative Company (USAC) - Administrative Costs,2018, $ -   
FCC,Universal Service Administrative Company (USAC) - Administrative Costs,2021, $ -   
FCC,Universal Service Fund - High Cost Legacy,2018, $ -   
FCC,Universal Service Fund - High Cost Legacy,2021, $ -   
FCC,Universal Service Fund - Lifeline,2018, $ -   
FCC,Universal Service Fund - Lifeline,2021, $ -   
FCC,Universal Service Fund - Rural Health Care,2018, $ -   
FCC,Universal Service Fund - Rural Health Care,2021, $ -   
FCC,Universal Service Fund - Schools and Libraries,2018, $ -   
FCC,Universal Service Fund - Schools and Libraries,2021, $ -   
FCC,USF-Rural Health Care,2019, $ 2.15 
FCC,USF-Rural Health Care,2020, $ 19.05 
FEC,Agency Wide,2022, $ -   
FEC,Agency Wide,2023, $ -   
FEC,Agency Wide,2024, $ -   
FERC,Agency Wide,2024, $ -   
FLRA,Agency Wide,2023, $ -   
FLRA,Agency Wide,2024, $ -   
FMC,Agency Wide,2022, $ -
FMC,Agency Wide,2023, $ -   
FMC,Agency Wide,2024, $ -   
FMC,Office of Inspector General,2020, $ -   
FMC,Office of Inspector General,2021, $ -   
FMC,Operations and Administration,2020, $ -   
FMC,Operations and Administration,2021, $ -   
FTC,Agency Wide,2024, $ -   
GCRC,Agency Wide,2022, $ -   
GCRC,Agency Wide,2023, $ -   
GCRC,Agency Wide,2024, $ -   
GSA,Acquisition Services Fund - Operating,2021, $ -   
GSA,Acquisition Workforce Training,2021, $ -   
GSA,Administrative,2020, $ 1.00 
GSA,Agency Wide,2022, $ 115.27 
GSA,Agency Wide,2023, $ 46.78 
GSA,Agency Wide,2024, $ 193.67 
GSA,"Allowances, Pensions, and Office Staff",2021, $ -   
GSA,Assisted Acquisition Services (AAS),2021, $ -   
GSA,Audit Contracts and Contract Administration,2021, $ -   
GSA,Building Operations,2021, $ -   
GSA,Civil,2020, $ 6.20 
GSA,Civil Results,2017, $ 74.43 
GSA,Civil Results,2018, $ 74.05 
GSA,Civil results: Recoveries/Forfeitures,2019, $ 0.00 
GSA,Civil Results: Settlements,2019, $ 59.34 
GSA,Common Acquisition Platform (CAP),2021, $ -   
GSA,Construction and Acquisition of Facilities,2021, $ -   
GSA,Criminal,2020, $ 82.70 
GSA,Criminal Results,2017, $ 26.31 
GSA,Criminal Results,2018, $ 16.14 
GSA,Criminal Results: Recoveries/Forfeitures,2019, $ 46.20 
GSA,Criminal Results: Restituation,2019, $ 4.82 
GSA,Data Driven Innovation,2021, $ -   
GSA,Digital Services,2021, $ -   
GSA,Direct Program Activity,2021, $ -   
GSA,Disaster Emergency Funds,2021, $ -   
GSA,Electronic Government,2021, $ -   
GSA,Employee Payments - General Services Administration,2021, $ -   
GSA,Environmental Review Improvement,2021, $ -   
GSA,Federal Buildings and Courthouses,2021, $ -   
GSA,Federal Citizen Services Fund (Reimbursable),2021, $ -   
GSA,General Supplies and Services (GSS),2021, $ -   
GSA,Government-wide Policy,2021, $ -   
GSA,Government-wide Policy (Reimbursable),2021, $ -   
GSA,High-Performance Green Buildings - Major Repairs & Alterations,2021, $ -   
GSA,Information Technology Category,2021, $ -   
GSA,Installment Acquisition Payments,2021, $ -   
GSA,Integrated Award Environment,2021, $ -   
GSA,IT Modernization and Development,2021, $ -   
GSA,"ITOR Oversight, Cybersecurity and Program Management",2021, $ -   
GSA,Land Ports of Entry,2021, $ -   
GSA,Lapsed Balances,2021, $ -   
GSA,Non-Judicial Recoveries,2017, $ 20.74 
GSA,Non-Judicial Recoveries,2018, $ 7.05 
GSA,Non-Judicial Recoveries FAR Disclosure Settlements²,2019, $ 11.43 
GSA,Office of Products and Programs,2021, $ -   
GSA,Operating Expenses (Direct),2021, $ -   
GSA,Operating Expenses (Reimbursable),2021, $ -   
GSA,Pre-Election Transition,2021, $ -   
GSA,Presidential Transition,2021, $ -   
GSA,Purchase Cards - General Services Administration,2021, $ -   
GSA,Real Property Relocation,2021, $ -   
GSA,Real Property Utilization and Disposal,2021, $ -   
GSA,Reimbursable Program Activity,2021, $ -   
GSA,Rental of Space,2021, $ -   
GSA,Repairs and Alterations,2021, $ -   
GSA,Space Management,2021, $ -   
GSA,Special Services and Improvements,2021, $ -   
GSA,Technology Transformation Service,2021, $ -   
GSA,"Travel, Transportation, and Logistics Categories (TTL) Flow-Thru",2021, $ -   
GSA,Unconditional Gifts,2021, $ -   
GSA,Working Capital Fund (Direct),2021, $ -   
GSA,Working Capital Fund (Reimbursable),2021, $ -   
HHS,Administration for Children and Families (ACF) - Adoption Assistance,2021, $ -   
HHS,Administration for Children and Families (ACF) - Child Care and Development Fund,2021, $ -   
HHS,Administration for Children and Families (ACF) - Child Welfare Research Training or Demonstration,2021, $ -   
HHS,Administration for Children and Families (ACF) - Community Services Block Grant,2021, $ -   
HHS,Administration for Children and Families (ACF) - Family Violence Prevention and Services/Discretionary,2021, $ -   
HHS,Administration for Children and Families (ACF) - Foster Care Title IV-E,2021, $ -   
HHS,Administration for Children and Families (ACF) - Guardianship Assistance,2021, $ -   
HHS,Administration for Children and Families (ACF) - Head Start,2021, $ -   
HHS,Administration for Children and Families (ACF) - Head Start Disaster Recovery,2021, $ -   
HHS,Administration for Children and Families (ACF) - Healthy Marriage Promotion and Responsible Fatherhood Grants,2021, $ -   
HHS,Administration for Children and Families (ACF) - Low-Income Home Energy Assistance,2021, $ -   
HHS,Administration for Children and Families (ACF) - Temporary Assistance for Needy Families,2021, $ -   
HHS,Administration for Children and Families (ACF) - Unaccompanied Alien Children Program,2021, $ -   
HHS,Administration for Community Living (ACL) - State Aging Formula Programs,2021, $ -   
HHS,Agency for Healthcare Research and Quality (AHRQ) - Medical Expenditure Panel Survey,2021, $ -   
HHS,Agency Wide,2022," $ 1,400.00 "
HHS,Agency Wide,2023," $ 3,160.00 "
HHS,Agency Wide,2024," $ 2,760.00 "
HHS,Agency-wide,2019," $ 5,210.00 "
HHS,Agency-wide,2020," $ 4,250.00 "
HHS,ASPR Public Health and Social Services Emergecy Fund Salaries and Benefits - Disaster Relief,2021, $ -   
HHS,ASPR Public Health Emergency and Social Services Emergency Fund MITRE Support Contract - Disaster Relief,2021, $ -   
HHS,CDC Disaster Relief,2021, $ -   
HHS,CDC Office of Operations,2021, $ -   
HHS,Centers for Disease Control and Prevention (CDC) Office of Readiness and Response,2021, $ -   
HHS,Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP),2021, $ -   
